analysis_snapshot_id,factor,independent_group,suite,task_id,task_description,init_state_id,query_idx,phase,candidates,outcome_heterogeneous,maxv_success,oracle_success,success_rescue,success_harm_possible,maxv_utility,oracle_utility,utility_rescue
terminal_grounded_critic_20260829__development__object_development_tasks0_2::libero_object_object__task0__init0__rollout0__query0,Object,Object|libero_object_object|0|0,libero_object_object,0,pick the alphabet soup and place it in the basket,0,0,approach,8,True,False,True,True,False,0.0,3.0,True
terminal_grounded_critic_20260829__development__object_development_tasks0_2::libero_object_object__task0__init0__rollout0__query3,Object,Object|libero_object_object|0|0,libero_object_object,0,pick the alphabet soup and place it in the basket,0,3,grasp,8,False,False,False,False,False,0.0,0.0,False
terminal_grounded_critic_20260829__development__object_development_tasks0_2::libero_object_object__task0__init1__rollout0__query0,Object,Object|libero_object_object|0|1,libero_object_object,0,pick the alphabet soup and place it in the basket,1,0,approach,8,True,False,True,True,False,-1.0,3.0,True
terminal_grounded_critic_20260829__development__object_development_tasks0_2::libero_object_object__task0__init1__rollout0__query3,Object,Object|libero_object_object|0|1,libero_object_object,0,pick the alphabet soup and place it in the basket,1,3,grasp,8,True,False,True,True,False,0.0,3.0,True
terminal_grounded_critic_20260829__development__object_development_tasks0_2::libero_object_object__task0__init2__rollout0__query0,Object,Object|libero_object_object|0|2,libero_object_object,0,pick the alphabet soup and place it in the basket,2,0,approach,8,False,True,True,False,False,3.0,3.0,False
terminal_grounded_critic_20260829__development__object_development_tasks0_2::libero_object_object__task0__init2__rollout0__query3,Object,Object|libero_object_object|0|2,libero_object_object,0,pick the alphabet soup and place it in the basket,2,3,grasp,8,True,False,True,True,False,0.0,3.0,True
terminal_grounded_critic_20260829__development__object_development_tasks0_2::libero_object_object__task0__init3__rollout0__query0,Object,Object|libero_object_object|0|3,libero_object_object,0,pick the alphabet soup and place it in the basket,3,0,approach,8,False,True,True,False,False,3.0,3.0,False
terminal_grounded_critic_20260829__development__object_development_tasks0_2::libero_object_object__task0__init3__rollout0__query3,Object,Object|libero_object_object|0|3,libero_object_object,0,pick the alphabet soup and place it in the basket,3,3,grasp,8,True,True,True,False,True,3.0,3.0,False
terminal_grounded_critic_20260829__development__object_development_tasks0_2::libero_object_object__task0__init4__rollout0__query0,Object,Object|libero_object_object|0|4,libero_object_object,0,pick the alphabet soup and place it in the basket,4,0,approach,8,True,False,True,True,False,-1.0,3.0,True
terminal_grounded_critic_20260829__development__object_development_tasks0_2::libero_object_object__task0__init4__rollout0__query3,Object,Object|libero_object_object|0|4,libero_object_object,0,pick the alphabet soup and place it in the basket,4,3,grasp,8,False,True,True,False,False,3.0,3.0,False
terminal_grounded_critic_20260829__development__object_development_tasks0_2::libero_object_object__task1__init0__rollout0__query0,Object,Object|libero_object_object|1|0,libero_object_object,1,pick the cream cheese and place it in the basket,0,0,approach,8,False,True,True,False,False,3.0,3.0,False
terminal_grounded_critic_20260829__development__object_development_tasks0_2::libero_object_object__task1__init0__rollout0__query3,Object,Object|libero_object_object|1|0,libero_object_object,1,pick the cream cheese and place it in the basket,0,3,grasp,8,False,True,True,False,False,3.0,3.0,False
terminal_grounded_critic_20260829__development__object_development_tasks0_2::libero_object_object__task1__init1__rollout0__query0,Object,Object|libero_object_object|1|1,libero_object_object,1,pick the cream cheese and place it in the basket,1,0,approach,8,False,True,True,False,False,3.0,3.0,False
terminal_grounded_critic_20260829__development__object_development_tasks0_2::libero_object_object__task1__init1__rollout0__query3,Object,Object|libero_object_object|1|1,libero_object_object,1,pick the cream cheese and place it in the basket,1,3,grasp,8,False,True,True,False,False,3.0,3.0,False
terminal_grounded_critic_20260829__development__object_development_tasks0_2::libero_object_object__task1__init2__rollout0__query0,Object,Object|libero_object_object|1|2,libero_object_object,1,pick the cream cheese and place it in the basket,2,0,approach,8,False,True,True,False,False,3.0,3.0,False
terminal_grounded_critic_20260829__development__object_development_tasks0_2::libero_object_object__task1__init2__rollout0__query3,Object,Object|libero_object_object|1|2,libero_object_object,1,pick the cream cheese and place it in the basket,2,3,grasp,8,False,True,True,False,False,3.0,3.0,False
terminal_grounded_critic_20260829__development__object_development_tasks0_2::libero_object_object__task1__init3__rollout0__query0,Object,Object|libero_object_object|1|3,libero_object_object,1,pick the cream cheese and place it in the basket,3,0,approach,8,False,True,True,False,False,3.0,3.0,False
terminal_grounded_critic_20260829__development__object_development_tasks0_2::libero_object_object__task1__init3__rollout0__query3,Object,Object|libero_object_object|1|3,libero_object_object,1,pick the cream cheese and place it in the basket,3,3,grasp,8,False,True,True,False,False,3.0,3.0,False
terminal_grounded_critic_20260829__development__object_development_tasks0_2::libero_object_object__task1__init4__rollout0__query0,Object,Object|libero_object_object|1|4,libero_object_object,1,pick the cream cheese and place it in the basket,4,0,approach,8,False,True,True,False,False,3.0,3.0,False
terminal_grounded_critic_20260829__development__object_development_tasks0_2::libero_object_object__task1__init4__rollout0__query3,Object,Object|libero_object_object|1|4,libero_object_object,1,pick the cream cheese and place it in the basket,4,3,grasp,8,False,True,True,False,False,3.0,3.0,False
terminal_grounded_critic_20260829__development__object_development_tasks0_2::libero_object_object__task2__init0__rollout0__query0,Object,Object|libero_object_object|2|0,libero_object_object,2,pick the salad dressing and place it in the basket,0,0,approach,8,False,True,True,False,False,3.0,3.0,False
terminal_grounded_critic_20260829__development__object_development_tasks0_2::libero_object_object__task2__init0__rollout0__query3,Object,Object|libero_object_object|2|0,libero_object_object,2,pick the salad dressing and place it in the basket,0,3,grasp,8,False,True,True,False,False,3.0,3.0,False
terminal_grounded_critic_20260829__development__object_development_tasks0_2::libero_object_object__task2__init1__rollout0__query0,Object,Object|libero_object_object|2|1,libero_object_object,2,pick the salad dressing and place it in the basket,1,0,approach,8,False,True,True,False,False,3.0,3.0,False
terminal_grounded_critic_20260829__development__object_development_tasks0_2::libero_object_object__task2__init1__rollout0__query3,Object,Object|libero_object_object|2|1,libero_object_object,2,pick the salad dressing and place it in the basket,1,3,grasp,8,False,True,True,False,False,3.0,3.0,False
terminal_grounded_critic_20260829__development__object_development_tasks0_2::libero_object_object__task2__init2__rollout0__query0,Object,Object|libero_object_object|2|2,libero_object_object,2,pick the salad dressing and place it in the basket,2,0,approach,8,False,True,True,False,False,3.0,3.0,False
terminal_grounded_critic_20260829__development__object_development_tasks0_2::libero_object_object__task2__init2__rollout0__query3,Object,Object|libero_object_object|2|2,libero_object_object,2,pick the salad dressing and place it in the basket,2,3,grasp,8,False,True,True,False,False,3.0,3.0,False
terminal_grounded_critic_20260829__development__object_development_tasks0_2::libero_object_object__task2__init3__rollout0__query0,Object,Object|libero_object_object|2|3,libero_object_object,2,pick the salad dressing and place it in the basket,3,0,approach,8,False,True,True,False,False,3.0,3.0,False
