analysis_snapshot_id,factor,independent_group,baseline_candidate_idx,proposed_candidate_idx,selected_candidate_idx,oracle_candidate_idx,switched,fallback_reason,advantage_lcb,maxv_success,critic_success,oracle_success,maxv_utility,critic_utility,oracle_utility,maxv_risk,critic_risk,rescue,harm
terminal_grounded_critic_20260829__development__object_calibration_task6::libero_object_object__task6__init0__rollout0__query0,Object,Object|libero_object_object|6|0,2,7,2,0,False,non_positive_advantage_lcb,-8.232486102004273,True,True,True,3.0,3.0,3.0,0.0,0.0,False,False
terminal_grounded_critic_20260829__development__object_calibration_task6::libero_object_object__task6__init0__rollout0__query3,Object,Object|libero_object_object|6|0,0,3,0,0,False,non_positive_advantage_lcb,-7.323856577429892,True,True,True,3.0,3.0,3.0,0.0,0.0,False,False
terminal_grounded_critic_20260829__development__object_calibration_task6::libero_object_object__task6__init1__rollout0__query0,Object,Object|libero_object_object|6|1,3,7,3,0,False,non_positive_advantage_lcb,-6.208117408852306,True,True,True,3.0,3.0,3.0,0.0,0.0,False,False
terminal_grounded_critic_20260829__development__object_calibration_task6::libero_object_object__task6__init1__rollout0__query3,Object,Object|libero_object_object|6|1,3,3,3,0,False,critic_agrees_with_max_value,-0.030613869264301666,True,True,True,3.0,3.0,3.0,0.0,0.0,False,False
terminal_grounded_critic_20260829__development__object_calibration_task6::libero_object_object__task6__init2__rollout0__query0,Object,Object|libero_object_object|6|2,1,7,1,0,False,non_positive_advantage_lcb,-9.646489720408974,True,True,True,3.0,3.0,3.0,0.0,0.0,False,False
terminal_grounded_critic_20260829__development__object_calibration_task6::libero_object_object__task6__init2__rollout0__query3,Object,Object|libero_object_object|6|2,6,3,6,0,False,non_positive_advantage_lcb,-7.245037922242848,True,True,True,3.0,3.0,3.0,0.0,0.0,False,False
terminal_grounded_critic_20260829__development__object_calibration_task6::libero_object_object__task6__init3__rollout0__query0,Object,Object|libero_object_object|6|3,0,3,0,0,False,non_positive_advantage_lcb,-7.18319797203365,True,True,True,3.0,3.0,3.0,0.0,0.0,False,False
terminal_grounded_critic_20260829__development__object_calibration_task6::libero_object_object__task6__init3__rollout0__query3,Object,Object|libero_object_object|6|3,0,4,0,0,False,non_positive_advantage_lcb,-8.914530609552884,True,True,True,3.0,3.0,3.0,0.0,0.0,False,False
terminal_grounded_critic_20260829__development__object_calibration_task6::libero_object_object__task6__init4__rollout0__query0,Object,Object|libero_object_object|6|4,6,7,6,0,False,non_positive_advantage_lcb,-5.98159951895614,True,True,True,3.0,3.0,3.0,0.0,0.0,False,False
terminal_grounded_critic_20260829__development__object_calibration_task6::libero_object_object__task6__init4__rollout0__query3,Object,Object|libero_object_object|6|4,7,4,7,0,False,non_positive_advantage_lcb,-8.260433874838643,True,True,True,3.0,3.0,3.0,0.0,0.0,False,False
terminal_grounded_critic_20260829__development__object_calibration_task7::libero_object_object__task7__init0__rollout0__query0,Object,Object|libero_object_object|7|0,6,6,6,0,False,critic_agrees_with_max_value,-0.030613869264301666,True,True,True,3.0,3.0,3.0,0.0,0.0,False,False
terminal_grounded_critic_20260829__development__object_calibration_task7::libero_object_object__task7__init0__rollout0__query3,Object,Object|libero_object_object|7|0,5,2,5,0,False,non_positive_advantage_lcb,-11.763372534001746,True,True,True,3.0,3.0,3.0,0.0,0.0,False,False
terminal_grounded_critic_20260829__development__object_calibration_task7::libero_object_object__task7__init1__rollout0__query0,Object,Object|libero_object_object|7|1,5,1,5,0,False,non_positive_advantage_lcb,-7.847416174307243,True,True,True,3.0,3.0,3.0,0.0,0.0,False,False
terminal_grounded_critic_20260829__development__object_calibration_task7::libero_object_object__task7__init1__rollout0__query3,Object,Object|libero_object_object|7|1,4,1,4,0,False,non_positive_advantage_lcb,-8.235767332397575,True,True,True,3.0,3.0,3.0,0.0,0.0,False,False
terminal_grounded_critic_20260829__development__object_calibration_task7::libero_object_object__task7__init2__rollout0__query0,Object,Object|libero_object_object|7|2,6,1,6,0,False,non_positive_advantage_lcb,-6.203223932052355,True,True,True,3.0,3.0,3.0,0.0,0.0,False,False
terminal_grounded_critic_20260829__development__object_calibration_task7::libero_object_object__task7__init2__rollout0__query3,Object,Object|libero_object_object|7|2,0,6,0,0,False,non_positive_advantage_lcb,-12.671311415391138,True,True,True,3.0,3.0,3.0,0.0,0.0,False,False
terminal_grounded_critic_20260829__development__object_calibration_task7::libero_object_object__task7__init3__rollout0__query0,Object,Object|libero_object_object|7|3,1,5,1,0,False,non_positive_advantage_lcb,-10.765216335563446,True,True,True,3.0,3.0,3.0,0.0,0.0,False,False
terminal_grounded_critic_20260829__development__object_calibration_task7::libero_object_object__task7__init3__rollout0__query3,Object,Object|libero_object_object|7|3,7,6,7,0,False,non_positive_advantage_lcb,-12.181097922204229,True,True,True,3.0,3.0,3.0,0.0,0.0,False,False
terminal_grounded_critic_20260829__development__object_calibration_task7::libero_object_object__task7__init4__rollout0__query0,Object,Object|libero_object_object|7|4,0,7,0,0,False,non_positive_advantage_lcb,-7.813353607493957,True,True,True,3.0,3.0,3.0,0.0,0.0,False,False
terminal_grounded_critic_20260829__development__object_calibration_task7::libero_object_object__task7__init4__rollout0__query3,Object,Object|libero_object_object|7|4,2,7,2,0,False,non_positive_advantage_lcb,-9.440919253100592,True,True,True,3.0,3.0,3.0,0.0,0.0,False,False
