analysis_snapshot_id,factor,case_id,suite,task_id,task_description,init_state_id,query_idx,phase,candidates,successful_candidates,outcome_heterogeneous,all_candidates_fail,all_candidates_succeed,successful_candidate_indices,successful_candidate_seeds,top_candidate_idx,top_candidate_seed,top_candidate_value,top_candidate_success,top_candidate_failure_type,top_candidate_drop,top_candidate_wrong_object,top_candidate_safety_violation,best_success_candidate_idx,best_success_candidate_seed,best_success_value,top_over_best_success_margin,within_state_value_pairwise_accuracy,k4_selected_idx,k4_selected_value,k4_selected_success,k4_oracle_success,k8_selected_idx,k8_selected_value,k8_selected_success,k8_oracle_success,k16_selected_idx,k16_selected_value,k16_selected_success,k16_oracle_success,k4_to_k8_oracle_gain,k8_to_k16_oracle_gain,k4_to_k8_greedy_harm,k4_to_k8_greedy_rescue,k8_to_k16_greedy_harm,k8_to_k16_greedy_rescue
proposal_opportunity_k16_20260830__environment_task0_init5_7_k16::libero_object_env__task0__init5__rollout0__query0,Environment,proposal_k16_environment_task0,libero_object_env,0,pick the alphabet soup and place it in the basket,5,0,approach,16,0,False,True,False,[],[],12,5200012,0.08714014291763306,False,kinematic_deadlock_candidate,False,False,False,,,,,,3,0.08673781156539917,False,False,3,0.08673781156539917,False,False,12,0.08714014291763306,False,False,False,False,False,False,False,False
proposal_opportunity_k16_20260830__environment_task0_init5_7_k16::libero_object_env__task0__init5__rollout0__query3,Environment,proposal_k16_environment_task0,libero_object_env,0,pick the alphabet soup and place it in the basket,5,3,approach,16,0,False,True,False,[],[],8,5203008,0.14513686299324036,False,kinematic_deadlock_candidate,False,False,False,,,,,,2,0.1442076563835144,False,False,2,0.1442076563835144,False,False,8,0.14513686299324036,False,False,False,False,False,False,False,False
proposal_opportunity_k16_20260830__environment_task0_init5_7_k16::libero_object_env__task0__init6__rollout0__query0,Environment,proposal_k16_environment_task0,libero_object_env,0,pick the alphabet soup and place it in the basket,6,0,approach,16,0,False,True,False,[],[],15,5200112,0.0881229043006897,False,kinematic_deadlock_candidate,False,False,False,,,,,,3,0.08718347549438477,False,False,5,0.0879015326499939,False,False,15,0.0881229043006897,False,False,False,False,False,False,False,False
proposal_opportunity_k16_20260830__environment_task0_init5_7_k16::libero_object_env__task0__init6__rollout0__query3,Environment,proposal_k16_environment_task0,libero_object_env,0,pick the alphabet soup and place it in the basket,6,3,approach,16,0,False,True,False,[],[],5,5203102,0.14539116621017456,False,kinematic_deadlock_candidate,False,False,False,,,,,,3,0.14241153001785278,False,False,5,0.14539116621017456,False,False,5,0.14539116621017456,False,False,False,False,False,False,False,False
proposal_opportunity_k16_20260830__environment_task0_init5_7_k16::libero_object_env__task0__init7__rollout0__query0,Environment,proposal_k16_environment_task0,libero_object_env,0,pick the alphabet soup and place it in the basket,7,0,approach,16,0,False,True,False,[],[],14,5200208,0.07267636060714722,False,timeout_no_goal,False,False,False,,,,,,1,0.07232728600502014,False,False,7,0.07257696986198425,False,False,14,0.07267636060714722,False,False,False,False,False,False,False,False
proposal_opportunity_k16_20260830__environment_task0_init5_7_k16::libero_object_env__task0__init7__rollout0__query3,Environment,proposal_k16_environment_task0,libero_object_env,0,pick the alphabet soup and place it in the basket,7,3,approach,16,0,False,True,False,[],[],10,5203204,0.15793097019195557,False,timeout_no_goal,False,False,False,,,,,,3,0.15594056248664856,False,False,4,0.1565701961517334,False,False,10,0.15793097019195557,False,False,False,False,False,False,False,False
proposal_opportunity_k16_20260830__environment_task0_init8_9_k16::libero_object_env__task0__init8__rollout0__query0,Environment,proposal_k16_environment_task0,libero_object_env,0,pick the alphabet soup and place it in the basket,8,0,approach,16,0,False,True,False,[],[],9,5200300,0.08498013019561768,False,kinematic_deadlock_candidate,False,False,False,,,,,,3,0.08483567833900452,False,False,3,0.08483567833900452,False,False,9,0.08498013019561768,False,False,False,False,False,False,False,False
proposal_opportunity_k16_20260830__environment_task0_init8_9_k16::libero_object_env__task0__init8__rollout0__query3,Environment,proposal_k16_environment_task0,libero_object_env,0,pick the alphabet soup and place it in the basket,8,3,approach,16,0,False,True,False,[],[],4,5203295,0.4397832155227661,False,kinematic_deadlock_candidate,False,False,False,,,,,,3,0.43968862295150757,False,False,4,0.4397832155227661,False,False,4,0.4397832155227661,False,False,False,False,False,False,False,False
proposal_opportunity_k16_20260830__environment_task0_init8_9_k16::libero_object_env__task0__init9__rollout0__query0,Environment,proposal_k16_environment_task0,libero_object_env,0,pick the alphabet soup and place it in the basket,9,0,approach,16,0,False,True,False,[],[],1,5200389,0.08240774273872375,False,wrong_object_interaction_candidate,False,True,False,,,,,,1,0.08240774273872375,False,False,1,0.08240774273872375,False,False,1,0.08240774273872375,False,False,False,False,False,False,False,False
proposal_opportunity_k16_20260830__environment_task0_init8_9_k16::libero_object_env__task0__init9__rollout0__query3,Environment,proposal_k16_environment_task0,libero_object_env,0,pick the alphabet soup and place it in the basket,9,3,approach,16,0,False,True,False,[],[],3,5203391,0.15708744525909424,False,timeout_no_goal,False,False,False,,,,,,3,0.15708744525909424,False,False,3,0.15708744525909424,False,False,3,0.15708744525909424,False,False,False,False,False,False,False,False
