case_id,split,suite,position_level,task_id,init_state_id,rollout_id,rollout_seed,independent_group,task_description,evaluation_cohort,strategy,prefix_state_sha256,snapshot_replay_max_abs,primitive_steps,intervention_applied,counterfactual_reused,video_path,trigger_localization_object,trigger_localization_pixel_row,trigger_localization_pixel_col,trigger_localization_world_x,trigger_localization_world_y,trigger_localization_world_z,trigger_localization_peak_probability,trigger_localization_entropy,trigger_localization_score_range,trigger_passed,trigger_mode,terminal_available,terminal_success,terminal_final_t,terminal_continuation_queries,terminal_goal_progress_max,terminal_target_drop_candidate,terminal_wrong_object_interaction_candidate,terminal_official_safety_violation,terminal_failure_type,terminal_episode_failure_type,terminal_episode_failure_event_t,terminal_episode_safe_task_success,terminal_episode_safety_terminated,terminal_episode_official_safety_violation,terminal_episode_official_safety_violation_t,terminal_episode_official_safety_cost_types,terminal_episode_target_objects,terminal_episode_goal_relevant_objects,terminal_episode_target_drop_candidate,terminal_episode_target_drop_candidate_t,terminal_episode_target_drop_candidate_object,terminal_episode_successful_target_release,terminal_episode_successful_target_release_t,terminal_episode_successful_target_release_objects,terminal_episode_wrong_object_interaction_candidate,terminal_episode_wrong_object_interaction_candidate_t,terminal_episode_kinematic_deadlock_candidate,terminal_episode_episode_goal_progress_initial,terminal_episode_episode_goal_progress_max,terminal_episode_episode_time_to_first_goal_progress,terminal_episode_episode_time_to_first_target_lift,terminal_episode_episode_target_lift_max,terminal_episode_goal_predicates_json,terminal_episode_goal_predicates_satisfied_final_json,terminal_episode_episode_eef_path_length,terminal_episode_episode_eef_net_displacement,terminal_episode_episode_eef_jerk_mean,terminal_episode_episode_eef_dimensionless_jerk_proxy,terminal_utility_v1,trigger_finite_pass,trigger_confidence_pass,trigger_workspace_pass,trigger_miss_distance_pass,trigger_reach_pass,trigger_estimated_target_eef_distance_m,trigger_score_threshold,perception_localization_used,perception_regrasp_executed,perception_object,perception_pixel_row,perception_pixel_col,perception_world_x,perception_world_y,perception_world_z,perception_peak_probability,perception_entropy,perception_score_range,perception_confidence_pass,perception_guard_mode,perception_guard_passed,perception_guard_finite_pass,perception_guard_confidence_pass,perception_guard_workspace_pass,perception_guard_miss_distance_pass,perception_guard_reach_pass,perception_guard_estimated_target_eef_distance_m,perception_guard_score_threshold,perception_guard_pass
p3d_development__x0p2__task2__init40__rollout0,development,libero_object_temp,x0.2,2,40,0,53593566,x0.2|task2|init40,pick up the salad dressing and place it in the basket,novel_cell,baseline_h8,e04ff884b3bd557e1c8bb0b510a63b06bf260b6b7e91e3092459b5699cf55fee,0.0,0,0,0,,salad dressing,115.0,100.0,-0.11985729645164822,-0.1057387676523716,0.07461410015821457,0.09684336221351203,0.3278740916094013,37.277832984924316,0,baseline,True,1,276,26,1.0,1,0,0,success,success,167,True,False,False,-1,,salad_dressing_1,salad_dressing_1,True,167,salad_dressing_1,False,-1,,False,-1,False,0.0,1.0,276,110,0.23617022100690377,"[[""in"", ""salad_dressing_1"", ""basket_1_contain_region""]]",[1],1.8994132777283623,0.30757159639190546,5.788156798866672,200700439.5819132,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p3d_development__x0p2__task2__init40__rollout0,development,libero_object_temp,x0.2,2,40,0,53593566,x0.2|task2|init40,pick up the salad dressing and place it in the basket,novel_cell,workspace_calibrated,e04ff884b3bd557e1c8bb0b510a63b06bf260b6b7e91e3092459b5699cf55fee,0.0,25,1,0,,salad dressing,115.0,100.0,-0.11985729645164822,-0.1057387676523716,0.07461410015821457,0.09684336221351203,0.3278740916094013,37.277832984924316,1,workspace_calibrated,True,1,206,14,1.0,0,0,0,success,success,-1,True,False,False,-1,,salad_dressing_1,salad_dressing_1,False,-1,,False,-1,,False,-1,False,0.0,1.0,206,137,0.23004922558477714,"[[""in"", ""salad_dressing_1"", ""basket_1_contain_region""]]",[1],1.5394776271453163,0.30572825789014313,6.415785673955317,74202798.51465648,3.0,True,True,True,True,True,0.10839433136888048,18.343602180480957,True,True,salad dressing,115.0,100.0,-0.12469392680740365,-0.10624192036086849,0.0718761682510376,0.0970935142169947,0.32869976135548035,37.2992057800293,True,workspace_calibrated,True,True,True,True,True,True,0.143229551646601,18.343602180480957,True
p3d_development__x0p2__task2__init40__rollout0,development,libero_object_temp,x0.2,2,40,0,53593566,x0.2|task2|init40,pick up the salad dressing and place it in the basket,novel_cell,workspace_retreat_only,e04ff884b3bd557e1c8bb0b510a63b06bf260b6b7e91e3092459b5699cf55fee,0.0,3,1,0,,salad dressing,115.0,100.0,-0.11985729645164822,-0.1057387676523716,0.07461410015821457,0.09684336221351203,0.3278740916094013,37.277832984924316,1,workspace_calibrated,True,1,172,13,1.0,0,0,0,success,success,-1,True,False,False,-1,,salad_dressing_1,salad_dressing_1,False,-1,,False,-1,,False,-1,False,0.0,1.0,172,113,0.23740310347566468,"[[""in"", ""salad_dressing_1"", ""basket_1_contain_region""]]",[1],1.3466166023114208,0.2940433620910678,5.0834985954673275,20293744.47816373,3.0,True,True,True,True,True,0.10839433136888048,18.343602180480957,True,False,salad dressing,115.0,100.0,-0.12469392680740365,-0.10624192036086849,0.0718761682510376,0.0970935142169947,0.32869976135548035,37.2992057800293,True,workspace_calibrated,True,True,True,True,True,True,0.143229551646601,18.343602180480957,True
p3d_development__x0p2__task2__init41__rollout0,development,libero_object_temp,x0.2,2,41,0,51523442,x0.2|task2|init41,pick up the salad dressing and place it in the basket,novel_cell,baseline_h8,df2bacd36850978c8862296b0da8a05fc3c25a221a15e80fbfc3a8cc9c9638e6,0.0,0,0,0,,salad dressing,68.0,107.0,-0.14677584124252063,-0.07452376768319538,0.25086441636085505,0.12024487559654563,0.3142171680103786,30.273624181747437,0,baseline,True,1,129,8,1.0,0,0,0,success,success,-1,True,False,False,-1,,salad_dressing_1,salad_dressing_1,False,-1,,False,-1,,False,-1,False,0.0,1.0,129,62,0.2385448897959459,"[[""in"", ""salad_dressing_1"", ""basket_1_contain_region""]]",[1],1.0697827604532197,0.31869307087050813,3.9114019735786556,2101871.114746357,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p3d_development__x0p2__task2__init41__rollout0,development,libero_object_temp,x0.2,2,41,0,51523442,x0.2|task2|init41,pick up the salad dressing and place it in the basket,novel_cell,workspace_calibrated,df2bacd36850978c8862296b0da8a05fc3c25a221a15e80fbfc3a8cc9c9638e6,0.0,25,1,0,,salad dressing,68.0,107.0,-0.14677584124252063,-0.07452376768319538,0.25086441636085505,0.12024487559654563,0.3142171680103786,30.273624181747437,1,workspace_calibrated,True,0,280,23,0.0,1,0,0,target_drop_candidate,target_drop_candidate,82,False,False,False,-1,,salad_dressing_1,salad_dressing_1,True,82,salad_dressing_1,False,-1,,False,-1,False,0.0,0.0,-1,62,0.24410885883595457,"[[""in"", ""salad_dressing_1"", ""basket_1_contain_region""]]",[0],2.175384841212382,0.19259689172240552,6.7825573812638495,227772623.76189795,-1.0,True,True,True,True,True,0.08333565501510218,18.343602180480957,True,True,salad dressing,67.0,108.0,-0.08705918283374214,-0.06679264576811615,0.27721911668777466,0.26135053554669885,0.19374339454923195,46.89790081977844,True,workspace_calibrated,True,True,True,True,True,True,0.02651492164222241,18.343602180480957,True
p3d_development__x0p2__task2__init41__rollout0,development,libero_object_temp,x0.2,2,41,0,51523442,x0.2|task2|init41,pick up the salad dressing and place it in the basket,novel_cell,workspace_retreat_only,df2bacd36850978c8862296b0da8a05fc3c25a221a15e80fbfc3a8cc9c9638e6,0.0,3,1,0,,salad dressing,68.0,107.0,-0.14677584124252063,-0.07452376768319538,0.25086441636085505,0.12024487559654563,0.3142171680103786,30.273624181747437,1,workspace_calibrated,True,1,132,8,1.0,0,0,0,success,success,-1,True,False,False,-1,,salad_dressing_1,salad_dressing_1,False,-1,,False,-1,,False,-1,False,0.0,1.0,132,62,0.2502160153163592,"[[""in"", ""salad_dressing_1"", ""basket_1_contain_region""]]",[1],1.1049262907126614,0.3181527625713429,4.85496005651222,4756200.073566544,3.0,True,True,True,True,True,0.08333565501510218,18.343602180480957,True,False,salad dressing,67.0,108.0,-0.08705918283374214,-0.06679264576811615,0.27721911668777466,0.26135053554669885,0.19374339454923195,46.89790081977844,True,workspace_calibrated,True,True,True,True,True,True,0.02651492164222241,18.343602180480957,True
p3d_development__x0p2__task2__init42__rollout0,development,libero_object_temp,x0.2,2,42,0,50437082,x0.2|task2|init42,pick up the salad dressing and place it in the basket,novel_cell,baseline_h8,bfd052749d57305236bcc72c36f0d60735071289ebff111ced5f1b18e1659ad0,0.0,0,0,0,,salad dressing,68.0,107.0,-0.16392408057454988,-0.07574862646846414,0.2443043440580368,0.09143193971668642,0.3530422931552088,26.56977939605713,0,baseline,True,1,129,8,1.0,0,0,0,success,success,-1,True,False,False,-1,,salad_dressing_1,salad_dressing_1,False,-1,,False,-1,,False,-1,False,0.0,1.0,129,62,0.23723885635994835,"[[""in"", ""salad_dressing_1"", ""basket_1_contain_region""]]",[1],1.0571180494816523,0.32169805455245143,3.94883041479526,2091708.4486442646,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p3d_development__x0p2__task2__init42__rollout0,development,libero_object_temp,x0.2,2,42,0,50437082,x0.2|task2|init42,pick up the salad dressing and place it in the basket,novel_cell,workspace_calibrated,bfd052749d57305236bcc72c36f0d60735071289ebff111ced5f1b18e1659ad0,0.0,25,1,0,,salad dressing,68.0,107.0,-0.16392408057454988,-0.07574862646846414,0.2443043440580368,0.09143193971668642,0.3530422931552088,26.56977939605713,1,workspace_calibrated,True,0,280,23,0.0,1,1,0,target_drop_candidate,target_drop_candidate,82,False,False,False,-1,,salad_dressing_1,salad_dressing_1,True,82,salad_dressing_1,False,-1,,True,228,False,0.0,0.0,-1,62,0.24222372294076489,"[[""in"", ""salad_dressing_1"", ""basket_1_contain_region""]]",[0],1.8884445618573817,0.3077939309438404,6.328172905001241,233410807.65270168,-1.5,True,True,True,True,True,0.09542162439084925,18.343602180480957,True,True,salad dressing,67.0,108.0,-0.08830795046576057,-0.06687744247995962,0.27674585580825806,0.23358295315746075,0.20289955768398107,43.78581213951111,True,workspace_calibrated,True,True,True,True,True,True,0.026882611324929428,18.343602180480957,True
p3d_development__x0p2__task2__init42__rollout0,development,libero_object_temp,x0.2,2,42,0,50437082,x0.2|task2|init42,pick up the salad dressing and place it in the basket,novel_cell,workspace_retreat_only,bfd052749d57305236bcc72c36f0d60735071289ebff111ced5f1b18e1659ad0,0.0,3,1,0,,salad dressing,68.0,107.0,-0.16392408057454988,-0.07574862646846414,0.2443043440580368,0.09143193971668642,0.3530422931552088,26.56977939605713,1,workspace_calibrated,True,1,132,8,1.0,0,0,0,success,success,-1,True,False,False,-1,,salad_dressing_1,salad_dressing_1,False,-1,,False,-1,,False,-1,False,0.0,1.0,132,62,0.25205082035471227,"[[""in"", ""salad_dressing_1"", ""basket_1_contain_region""]]",[1],1.0820172740570941,0.317590216806162,4.81586954768656,4985367.583734676,3.0,True,True,True,True,True,0.09542162439084925,18.343602180480957,True,False,salad dressing,67.0,108.0,-0.08830795046576057,-0.06687744247995962,0.27674585580825806,0.23358295315746075,0.20289955768398107,43.78581213951111,True,workspace_calibrated,True,True,True,True,True,True,0.026882611324929428,18.343602180480957,True
p3d_development__x0p2__task2__init43__rollout0,development,libero_object_temp,x0.2,2,43,0,53526410,x0.2|task2|init43,pick up the salad dressing and place it in the basket,novel_cell,baseline_h8,230e86d9853fd8f91a5f3928d509eb5c5033cb9bc923c2a5da0c7d55b34cd275,0.0,0,0,0,,salad dressing,115.0,100.0,-0.12405553408625325,-0.10617550862312855,0.07223755121231079,0.09659420549292255,0.3303461798997019,36.427547454833984,0,baseline,True,1,169,13,1.0,0,0,0,success,success,-1,True,False,False,-1,,salad_dressing_1,salad_dressing_1,False,-1,,False,-1,,False,-1,False,0.0,1.0,169,105,0.23653166222,"[[""in"", ""salad_dressing_1"", ""basket_1_contain_region""]]",[1],1.2722374626475617,0.29701266804674614,4.3710368043834,9552880.5203472,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
