job,trace,sha256,episodes
environment_t0_first,/home/jovyan/shares/SR006.nfs2/spiridonov/malnev_world_model/YSDA_WORD_MODELS_PP/experiments/campaigns/trajectory_consensus_20260908_compact/runs/trajectory_consensus_20260908_compact__environment_t0_first__libero_object_env__task0__init2-6__first__l0p0__query_traces.parquet,720f43c62b21cfd711e6efda169ae2419d02968ba4e04f45d920fec0db6d058a,5
environment_t0_max_value,/home/jovyan/shares/SR006.nfs2/spiridonov/malnev_world_model/YSDA_WORD_MODELS_PP/experiments/campaigns/trajectory_consensus_20260908_compact/runs/trajectory_consensus_20260908_compact__environment_t0_max_value__libero_object_env__task0__init2-6__max_value__l0p0__query_traces.parquet,8ef6f07ff4a143091a0cf1123e39bd43ecc96d5c94eca39bc4e411c657f269dd,5
environment_t0_winner,/home/jovyan/shares/SR006.nfs2/spiridonov/malnev_world_model/YSDA_WORD_MODELS_PP/experiments/campaigns/trajectory_consensus_20260908_compact/runs/trajectory_consensus_20260908_compact__environment_t0_winner__libero_object_env__task0__init2-6__trajectory_medoid__l1p0__query_traces.parquet,2c04d245e73a24471e4066003cba6395673ec6ea5a0354ea6fc136b24364b2bd,5
environment_t1_first,/home/jovyan/shares/SR006.nfs2/spiridonov/malnev_world_model/YSDA_WORD_MODELS_PP/experiments/campaigns/trajectory_consensus_20260908_compact/runs/trajectory_consensus_20260908_compact__environment_t1_first__libero_object_env__task1__init2-6__first__l0p0__query_traces.parquet,3d69942f25d947ca400b5b1fde7aefc21f4b46864c5dc4f575afd65b64ec45f1,5
environment_t1_max_value,/home/jovyan/shares/SR006.nfs2/spiridonov/malnev_world_model/YSDA_WORD_MODELS_PP/experiments/campaigns/trajectory_consensus_20260908_compact/runs/trajectory_consensus_20260908_compact__environment_t1_max_value__libero_object_env__task1__init2-6__max_value__l0p0__query_traces.parquet,9df60ca64c78ae41c8b186cad18ea4070566b225db33068ac833e2c1eaeecd08,5
environment_t1_winner,/home/jovyan/shares/SR006.nfs2/spiridonov/malnev_world_model/YSDA_WORD_MODELS_PP/experiments/campaigns/trajectory_consensus_20260908_compact/runs/trajectory_consensus_20260908_compact__environment_t1_winner__libero_object_env__task1__init2-6__trajectory_medoid__l1p0__query_traces.parquet,dc76eb3a6ff6038c0839663ae193e32fd2e585028a92019ba805cd2f80d6ee35,5
environment_t2_first,/home/jovyan/shares/SR006.nfs2/spiridonov/malnev_world_model/YSDA_WORD_MODELS_PP/experiments/campaigns/trajectory_consensus_20260908_compact/runs/trajectory_consensus_20260908_compact__environment_t2_first__libero_object_env__task2__init2-6__first__l0p0__query_traces.parquet,0d8e3e9a0697065ebd837cafe9879dff87ca7077dcf8db017b757bdefa7e9a97,5
environment_t2_max_value,/home/jovyan/shares/SR006.nfs2/spiridonov/malnev_world_model/YSDA_WORD_MODELS_PP/experiments/campaigns/trajectory_consensus_20260908_compact/runs/trajectory_consensus_20260908_compact__environment_t2_max_value__libero_object_env__task2__init2-6__max_value__l0p0__query_traces.parquet,d5011cfb69e6be7cd82957e64f73dcf54aa7eaec638cefdb9018b22866dee7be,5
environment_t2_winner,/home/jovyan/shares/SR006.nfs2/spiridonov/malnev_world_model/YSDA_WORD_MODELS_PP/experiments/campaigns/trajectory_consensus_20260908_compact/runs/trajectory_consensus_20260908_compact__environment_t2_winner__libero_object_env__task2__init2-6__trajectory_medoid__l1p0__query_traces.parquet,314a3d10cfd0dce0265b788d5b1c7afa833e0188fdf765b43838ec14d1b08f17,5
environment_t3_first,/home/jovyan/shares/SR006.nfs2/spiridonov/malnev_world_model/YSDA_WORD_MODELS_PP/experiments/campaigns/trajectory_consensus_20260908_compact/runs/trajectory_consensus_20260908_compact__environment_t3_first__libero_object_env__task3__init2-6__first__l0p0__query_traces.parquet,6aff92b703d45323820a2c4500260accb72fbc3a26db1a9a324fdbf53e266bc5,5
environment_t3_max_value,/home/jovyan/shares/SR006.nfs2/spiridonov/malnev_world_model/YSDA_WORD_MODELS_PP/experiments/campaigns/trajectory_consensus_20260908_compact/runs/trajectory_consensus_20260908_compact__environment_t3_max_value__libero_object_env__task3__init2-6__max_value__l0p0__query_traces.parquet,174120c49b7b5af9040a3bcbef7227b13ffa35269fcc3bf72388dc44f6992014,5
environment_t3_winner,/home/jovyan/shares/SR006.nfs2/spiridonov/malnev_world_model/YSDA_WORD_MODELS_PP/experiments/campaigns/trajectory_consensus_20260908_compact/runs/trajectory_consensus_20260908_compact__environment_t3_winner__libero_object_env__task3__init2-6__trajectory_medoid__l1p0__query_traces.parquet,26c12c5a0dfeb0032a505c1f5a0d07da4c7da81f6630611ec08fcce22f8c05f9,5
environment_t4_first,/home/jovyan/shares/SR006.nfs2/spiridonov/malnev_world_model/YSDA_WORD_MODELS_PP/experiments/campaigns/trajectory_consensus_20260908_compact/runs/trajectory_consensus_20260908_compact__environment_t4_first__libero_object_env__task4__init2-6__first__l0p0__query_traces.parquet,af334fe093f0f9155013ddf12817b8d08444d07486044324006af80842ac5fe9,5
environment_t4_max_value,/home/jovyan/shares/SR006.nfs2/spiridonov/malnev_world_model/YSDA_WORD_MODELS_PP/experiments/campaigns/trajectory_consensus_20260908_compact/runs/trajectory_consensus_20260908_compact__environment_t4_max_value__libero_object_env__task4__init2-6__max_value__l0p0__query_traces.parquet,507e4e68940096fe7d60afa86f020be7436af718f571ce1985e7cc20498d1872,5
environment_t4_winner,/home/jovyan/shares/SR006.nfs2/spiridonov/malnev_world_model/YSDA_WORD_MODELS_PP/experiments/campaigns/trajectory_consensus_20260908_compact/runs/trajectory_consensus_20260908_compact__environment_t4_winner__libero_object_env__task4__init2-6__trajectory_medoid__l1p0__query_traces.parquet,0566e5e0e0c8d4ca7c470377207832b4665d77593e1a7c920084354f1be80882,5
environment_t5_first,/home/jovyan/shares/SR006.nfs2/spiridonov/malnev_world_model/YSDA_WORD_MODELS_PP/experiments/campaigns/trajectory_consensus_20260908_compact/runs/trajectory_consensus_20260908_compact__environment_t5_first__libero_object_env__task5__init2-6__first__l0p0__query_traces.parquet,fc1c93b39ffd8b17e05cc2322472eb674cec50c673a4a7acea6f72fef776c1bf,5
environment_t5_max_value,/home/jovyan/shares/SR006.nfs2/spiridonov/malnev_world_model/YSDA_WORD_MODELS_PP/experiments/campaigns/trajectory_consensus_20260908_compact/runs/trajectory_consensus_20260908_compact__environment_t5_max_value__libero_object_env__task5__init2-6__max_value__l0p0__query_traces.parquet,00ff41c777ffbb52a43df3664621471c05b38492572773b3adbc6de4994cbec2,5
environment_t5_winner,/home/jovyan/shares/SR006.nfs2/spiridonov/malnev_world_model/YSDA_WORD_MODELS_PP/experiments/campaigns/trajectory_consensus_20260908_compact/runs/trajectory_consensus_20260908_compact__environment_t5_winner__libero_object_env__task5__init2-6__trajectory_medoid__l1p0__query_traces.parquet,0b925ced1b0c38b3dd12b860cfd69ac3449e94b5829e0c4ed8f51afbf62c19c2,5
environment_t6_first,/home/jovyan/shares/SR006.nfs2/spiridonov/malnev_world_model/YSDA_WORD_MODELS_PP/experiments/campaigns/trajectory_consensus_20260908_compact/runs/trajectory_consensus_20260908_compact__environment_t6_first__libero_object_env__task6__init2-6__first__l0p0__query_traces.parquet,26e4686c80cea5cddbd08dbde5f744cac27b046c15e49c3ee61e5149631eaffa,5
environment_t6_max_value,/home/jovyan/shares/SR006.nfs2/spiridonov/malnev_world_model/YSDA_WORD_MODELS_PP/experiments/campaigns/trajectory_consensus_20260908_compact/runs/trajectory_consensus_20260908_compact__environment_t6_max_value__libero_object_env__task6__init2-6__max_value__l0p0__query_traces.parquet,14c909a1bc18c3b459a86c06a55eb39811d4be4a691d5c2eef9043082b739747,5
environment_t6_winner,/home/jovyan/shares/SR006.nfs2/spiridonov/malnev_world_model/YSDA_WORD_MODELS_PP/experiments/campaigns/trajectory_consensus_20260908_compact/runs/trajectory_consensus_20260908_compact__environment_t6_winner__libero_object_env__task6__init2-6__trajectory_medoid__l1p0__query_traces.parquet,93241ad03739c5c44435df27fd1a5e593c6eb4e9246fbcb0c7993994505d59a4,5
environment_t7_first,/home/jovyan/shares/SR006.nfs2/spiridonov/malnev_world_model/YSDA_WORD_MODELS_PP/experiments/campaigns/trajectory_consensus_20260908_compact/runs/trajectory_consensus_20260908_compact__environment_t7_first__libero_object_env__task7__init2-6__first__l0p0__query_traces.parquet,4e68a2528a002285026cdb22d9447a73b7994fafda2219e178fe8fb468facb74,5
environment_t7_max_value,/home/jovyan/shares/SR006.nfs2/spiridonov/malnev_world_model/YSDA_WORD_MODELS_PP/experiments/campaigns/trajectory_consensus_20260908_compact/runs/trajectory_consensus_20260908_compact__environment_t7_max_value__libero_object_env__task7__init2-6__max_value__l0p0__query_traces.parquet,758f3e79acbe8d0e538922540f8b9d08787ec369dd0acd84690d7f0f2bf3cd13,5
environment_t7_winner,/home/jovyan/shares/SR006.nfs2/spiridonov/malnev_world_model/YSDA_WORD_MODELS_PP/experiments/campaigns/trajectory_consensus_20260908_compact/runs/trajectory_consensus_20260908_compact__environment_t7_winner__libero_object_env__task7__init2-6__trajectory_medoid__l1p0__query_traces.parquet,7b4ecf71268e135e68a808fce672c4ae8b16acd54c2b24e337e16df0d64183c3,5
environment_t8_first,/home/jovyan/shares/SR006.nfs2/spiridonov/malnev_world_model/YSDA_WORD_MODELS_PP/experiments/campaigns/trajectory_consensus_20260908_compact/runs/trajectory_consensus_20260908_compact__environment_t8_first__libero_object_env__task8__init2-6__first__l0p0__query_traces.parquet,99067da346d793fa19edffad273df9cca4aa37bb12c37b47813ecd387810c4d7,5
environment_t8_max_value,/home/jovyan/shares/SR006.nfs2/spiridonov/malnev_world_model/YSDA_WORD_MODELS_PP/experiments/campaigns/trajectory_consensus_20260908_compact/runs/trajectory_consensus_20260908_compact__environment_t8_max_value__libero_object_env__task8__init2-6__max_value__l0p0__query_traces.parquet,f58d34c55065f68d4a5cae00bb8919936734cb0c57d8c7f05d8fb9931585c615,5
environment_t8_winner,/home/jovyan/shares/SR006.nfs2/spiridonov/malnev_world_model/YSDA_WORD_MODELS_PP/experiments/campaigns/trajectory_consensus_20260908_compact/runs/trajectory_consensus_20260908_compact__environment_t8_winner__libero_object_env__task8__init2-6__trajectory_medoid__l1p0__query_traces.parquet,d8ea51bcf51d748bc424025835afda66a460d8255c507f25c905bdf513eeafee,5
environment_t9_first,/home/jovyan/shares/SR006.nfs2/spiridonov/malnev_world_model/YSDA_WORD_MODELS_PP/experiments/campaigns/trajectory_consensus_20260908_compact/runs/trajectory_consensus_20260908_compact__environment_t9_first__libero_object_env__task9__init2-6__first__l0p0__query_traces.parquet,8e4747528b818ae180cf74cc5af1d477f935f4f10fd6b51c477c1dcb09365860,5
environment_t9_max_value,/home/jovyan/shares/SR006.nfs2/spiridonov/malnev_world_model/YSDA_WORD_MODELS_PP/experiments/campaigns/trajectory_consensus_20260908_compact/runs/trajectory_consensus_20260908_compact__environment_t9_max_value__libero_object_env__task9__init2-6__max_value__l0p0__query_traces.parquet,f2e262942359de423e3b61f5cfdfc5d762dbf16ef44e1ba11e252c40f528301d,5
environment_t9_winner,/home/jovyan/shares/SR006.nfs2/spiridonov/malnev_world_model/YSDA_WORD_MODELS_PP/experiments/campaigns/trajectory_consensus_20260908_compact/runs/trajectory_consensus_20260908_compact__environment_t9_winner__libero_object_env__task9__init2-6__trajectory_medoid__l1p0__query_traces.parquet,2d64075a9ed5ea760351c27e62e5477ef4a3347815204906749bedcd07559b54,5
object_t0_first,/home/jovyan/shares/SR006.nfs2/spiridonov/malnev_world_model/YSDA_WORD_MODELS_PP/experiments/campaigns/trajectory_consensus_20260908_compact/runs/trajectory_consensus_20260908_compact__object_t0_first__libero_object_object__task0__init2-6__first__l0p0__query_traces.parquet,6147b178cec46d09c891eb0c13e63ec2548a95b748c84f797537364bc69b75e9,5
object_t0_max_value,/home/jovyan/shares/SR006.nfs2/spiridonov/malnev_world_model/YSDA_WORD_MODELS_PP/experiments/campaigns/trajectory_consensus_20260908_compact/runs/trajectory_consensus_20260908_compact__object_t0_max_value__libero_object_object__task0__init2-6__max_value__l0p0__query_traces.parquet,93490a6a300909f992c0c792ba995f2871c3a26823e89d9f722385d3acf368d0,5
object_t0_winner,/home/jovyan/shares/SR006.nfs2/spiridonov/malnev_world_model/YSDA_WORD_MODELS_PP/experiments/campaigns/trajectory_consensus_20260908_compact/runs/trajectory_consensus_20260908_compact__object_t0_winner__libero_object_object__task0__init2-6__trajectory_medoid__l1p0__query_traces.parquet,74ff8bca611893f743a75884ca5b078977c27a9a773eead5b1e297e9ccf80ec5,5
object_t1_first,/home/jovyan/shares/SR006.nfs2/spiridonov/malnev_world_model/YSDA_WORD_MODELS_PP/experiments/campaigns/trajectory_consensus_20260908_compact/runs/trajectory_consensus_20260908_compact__object_t1_first__libero_object_object__task1__init2-6__first__l0p0__query_traces.parquet,9bff51ebb6118bc950c572d4ace671169c46c7d924d25c1d4ad778e59eaec2fe,5
object_t1_max_value,/home/jovyan/shares/SR006.nfs2/spiridonov/malnev_world_model/YSDA_WORD_MODELS_PP/experiments/campaigns/trajectory_consensus_20260908_compact/runs/trajectory_consensus_20260908_compact__object_t1_max_value__libero_object_object__task1__init2-6__max_value__l0p0__query_traces.parquet,d28f1e082fac15066023fa3294837798c0bc2c2f04451f973dd6503aa9960892,5
object_t1_winner,/home/jovyan/shares/SR006.nfs2/spiridonov/malnev_world_model/YSDA_WORD_MODELS_PP/experiments/campaigns/trajectory_consensus_20260908_compact/runs/trajectory_consensus_20260908_compact__object_t1_winner__libero_object_object__task1__init2-6__trajectory_medoid__l1p0__query_traces.parquet,d56d6cd28b0a43c61d6042c668f727220a7ecd81bd43e728cf386985ea8bb175,5
object_t2_first,/home/jovyan/shares/SR006.nfs2/spiridonov/malnev_world_model/YSDA_WORD_MODELS_PP/experiments/campaigns/trajectory_consensus_20260908_compact/runs/trajectory_consensus_20260908_compact__object_t2_first__libero_object_object__task2__init2-6__first__l0p0__query_traces.parquet,84a6c257625f424c438f5927d64bb555f919d33b3b98a652ab203da8fff15683,5
object_t2_max_value,/home/jovyan/shares/SR006.nfs2/spiridonov/malnev_world_model/YSDA_WORD_MODELS_PP/experiments/campaigns/trajectory_consensus_20260908_compact/runs/trajectory_consensus_20260908_compact__object_t2_max_value__libero_object_object__task2__init2-6__max_value__l0p0__query_traces.parquet,4697e189e4f53ac8395a1396d034543ff907713ac6afb0f6701e852b295240ff,5
object_t2_winner,/home/jovyan/shares/SR006.nfs2/spiridonov/malnev_world_model/YSDA_WORD_MODELS_PP/experiments/campaigns/trajectory_consensus_20260908_compact/runs/trajectory_consensus_20260908_compact__object_t2_winner__libero_object_object__task2__init2-6__trajectory_medoid__l1p0__query_traces.parquet,698fa4f0c3a17096dc3d1c91c72c8369c37257336a8d956ab4e418e009b38cf4,5
object_t3_first,/home/jovyan/shares/SR006.nfs2/spiridonov/malnev_world_model/YSDA_WORD_MODELS_PP/experiments/campaigns/trajectory_consensus_20260908_compact/runs/trajectory_consensus_20260908_compact__object_t3_first__libero_object_object__task3__init2-6__first__l0p0__query_traces.parquet,4f6435dc9b5a1b0e6fae8cc1bc161219159d6a4d984e1dcfebc89eae0ae2fce0,5
object_t3_max_value,/home/jovyan/shares/SR006.nfs2/spiridonov/malnev_world_model/YSDA_WORD_MODELS_PP/experiments/campaigns/trajectory_consensus_20260908_compact/runs/trajectory_consensus_20260908_compact__object_t3_max_value__libero_object_object__task3__init2-6__max_value__l0p0__query_traces.parquet,231804405f30d1e2cbe6c972dcd200a0188241403b5ead2b0eb098504e6942b0,5
object_t3_winner,/home/jovyan/shares/SR006.nfs2/spiridonov/malnev_world_model/YSDA_WORD_MODELS_PP/experiments/campaigns/trajectory_consensus_20260908_compact/runs/trajectory_consensus_20260908_compact__object_t3_winner__libero_object_object__task3__init2-6__trajectory_medoid__l1p0__query_traces.parquet,59f2eaf28cd5e4adbd2b0c4a7afb9145af8b961804bad8a62c8790db01c18bdc,5
object_t4_first,/home/jovyan/shares/SR006.nfs2/spiridonov/malnev_world_model/YSDA_WORD_MODELS_PP/experiments/campaigns/trajectory_consensus_20260908_compact/runs/trajectory_consensus_20260908_compact__object_t4_first__libero_object_object__task4__init2-6__first__l0p0__query_traces.parquet,fab7a8e6f35d570e20795a8cb18751162d8a2c5255b54fa8766319be4b2b0327,5
object_t4_max_value,/home/jovyan/shares/SR006.nfs2/spiridonov/malnev_world_model/YSDA_WORD_MODELS_PP/experiments/campaigns/trajectory_consensus_20260908_compact/runs/trajectory_consensus_20260908_compact__object_t4_max_value__libero_object_object__task4__init2-6__max_value__l0p0__query_traces.parquet,c527da8901b48a8bfa9ac54aa6f67ef7795722254f768cb2f6332e790763f917,5
object_t4_winner,/home/jovyan/shares/SR006.nfs2/spiridonov/malnev_world_model/YSDA_WORD_MODELS_PP/experiments/campaigns/trajectory_consensus_20260908_compact/runs/trajectory_consensus_20260908_compact__object_t4_winner__libero_object_object__task4__init2-6__trajectory_medoid__l1p0__query_traces.parquet,063332dec381b2e2ab0cf457be4b07e7f045b37d7f95c188280646aa6b9719b3,5
object_t5_first,/home/jovyan/shares/SR006.nfs2/spiridonov/malnev_world_model/YSDA_WORD_MODELS_PP/experiments/campaigns/trajectory_consensus_20260908_compact/runs/trajectory_consensus_20260908_compact__object_t5_first__libero_object_object__task5__init2-6__first__l0p0__query_traces.parquet,938b0f009002dcdac51357ccb908dbf53021fa252225a0a4b07db3025547feea,5
object_t5_max_value,/home/jovyan/shares/SR006.nfs2/spiridonov/malnev_world_model/YSDA_WORD_MODELS_PP/experiments/campaigns/trajectory_consensus_20260908_compact/runs/trajectory_consensus_20260908_compact__object_t5_max_value__libero_object_object__task5__init2-6__max_value__l0p0__query_traces.parquet,3c2faf2727691b8308d47b4394bf7d5ae1979aa6891a3f9aeff66ffd36759167,5
object_t5_winner,/home/jovyan/shares/SR006.nfs2/spiridonov/malnev_world_model/YSDA_WORD_MODELS_PP/experiments/campaigns/trajectory_consensus_20260908_compact/runs/trajectory_consensus_20260908_compact__object_t5_winner__libero_object_object__task5__init2-6__trajectory_medoid__l1p0__query_traces.parquet,c91f08a69a8413c42c450fc7ad3a4b56a50c305d10a47568b3dec6b9307a1b54,5
