snapshot_group,factor,task_id,init_state_id,group_id,query_idx,case_id,baseline_success,oracle_success,opportunity,successful_candidates,pool_kind,sidecar_path,sidecar_sha256
00dcb2f61bd6ab3d04c9f820f32cfaa4ede74f617df5572e5f3556ed61d0f48f,Environment,1,3,libero_object_env|task1|init3|rollout1|seed16200679,3,p4b_environment_seed20260907,1,1,0,4,all_success,experiments/campaigns/p4b_terminal_candidates_20260907/runs/p4b_terminal_candidates_20260907__environment_fresh_seed__snapshots/libero_object_env__task1__init3__rollout1__query3.npz,4847072bd66852c2d4bf5db2d766910107c0c5ecce0972172bcc253f60d4ee52
01174c6f484860e7605a50102495b423eb91e3d573a0a01cbb30e56f4206118a,Environment,1,6,libero_object_env|task1|init6|rollout0|seed16201164,3,p4b_environment_seed20260907,1,1,0,4,all_success,experiments/campaigns/p4b_terminal_candidates_20260907/runs/p4b_terminal_candidates_20260907__environment_fresh_seed__snapshots/libero_object_env__task1__init6__rollout0__query3.npz,19396b97b8a0e11ec8b3259bdcf687adc6556105988129bf2d33c27673b37137
0288dad332e0788b0f8c96b0d5f118db422346531467bd0139e856d0017247ea,Position,1,4,libero_object_temp|task1|init4|rollout0|seed16501746,3,p4b_position_x0p3,0,0,0,0,all_fail,experiments/campaigns/p4b_terminal_candidates_20260907/runs/p4b_terminal_candidates_20260907__position_x0p3_new_cell__snapshots/libero_object_temp__task1__init4__rollout0__query3.npz,03172f25e99d607baa3d5458862a0a58de996b9238b99b1bbc5b1ead9142bd20
05ec56787fc6305bde729b795e3f5ef38ab184d865c418264341f250b7c2bdb5,Position,2,3,libero_object_temp|task2|init3|rollout1|seed16502619,3,p4b_position_x0p3,0,0,0,0,all_fail,experiments/campaigns/p4b_terminal_candidates_20260907/runs/p4b_terminal_candidates_20260907__position_x0p3_new_cell__snapshots/libero_object_temp__task2__init3__rollout1__query3.npz,ceab259b515a8644535c8284e64b6470af82bcdf9f5bb5101aa766b896349045
06432719c328bb05d8dc9d7cae41f7cc5d3aaa998e40bc71235da2e7416ce4a3,Environment,3,0,libero_object_env|task3|init0|rollout1|seed16202037,3,p4b_environment_seed20260907,1,1,0,4,all_success,experiments/campaigns/p4b_terminal_candidates_20260907/runs/p4b_terminal_candidates_20260907__environment_fresh_seed__snapshots/libero_object_env__task3__init0__rollout1__query3.npz,de3fe9f0796a918c5a146a13aa32b8831cb7031d3e3c2fb2667bf92cf9fa886f
083617233d429596ee652900be18ea6f09fc9da87392bfaa41740921275ff74b,Position,0,1,libero_object_temp|task0|init1|rollout0|seed16400194,3,p4b_position_y0p1,1,1,0,4,all_success,experiments/campaigns/p4b_terminal_candidates_20260907/runs/p4b_terminal_candidates_20260907__position_y0p1_new_cell__snapshots/libero_object_temp__task0__init1__rollout0__query3.npz,251ca9b8de39fe7b7907528a47474d5d49df1535f628a6f6a1a1471f74d793de
0919d89e47d7e2b0fd4a289217107038bfc7f8785db82de7ccad3c7465f5a623,Position,0,3,libero_object_temp|task0|init3|rollout1|seed16600679,3,p4b_position_y0p3,0,0,0,0,all_fail,experiments/campaigns/p4b_terminal_candidates_20260907/runs/p4b_terminal_candidates_20260907__position_y0p3_new_cell__snapshots/libero_object_temp__task0__init3__rollout1__query3.npz,9e6629d332ee0fd68cfde90ab84f90378afa20cb154526a31473cae40f0d5475
0a084eb8055902bd804be1c849772460f624c06aa161a8ef0bd961db26e24f2d,Position,1,0,libero_object_temp|task1|init0|rollout1|seed16401067,3,p4b_position_y0p1,1,1,0,4,all_success,experiments/campaigns/p4b_terminal_candidates_20260907/runs/p4b_terminal_candidates_20260907__position_y0p1_new_cell__snapshots/libero_object_temp__task1__init0__rollout1__query3.npz,00ca3577c304faf18da0ea4b2c2bb89c8a838463071834886ccd00f56b067067
0a51155855f30883ca53e454169b9955a6e11d3a566a4d9f97d186af559c4e7a,Object,0,2,libero_object_object|task0|init2|rollout1|seed16100485,3,p4b_object_task0_new_seeds,1,1,0,4,all_success,experiments/campaigns/p4b_terminal_candidates_20260907/runs/p4b_terminal_candidates_20260907__object_task0_new_seeds__snapshots/libero_object_object__task0__init2__rollout1__query3.npz,4e79b899f0802f5a882bbf08d931a439a04dfe9358756d7a5830dc1862a1cbec
0cc79c5ebb9c63741bb7049bae0588bb0657ecea2520e71d710d5a46cd966643,Position,2,4,libero_object_temp|task2|init4|rollout0|seed16402716,3,p4b_position_y0p1,1,1,0,4,all_success,experiments/campaigns/p4b_terminal_candidates_20260907/runs/p4b_terminal_candidates_20260907__position_y0p1_new_cell__snapshots/libero_object_temp__task2__init4__rollout0__query3.npz,47daeba1d07e715650a039100bc7767376c68914a163b6411aa4de3a4b4db6a7
0e477ce9f2785013aacc95909604d42b6b3f25c2bc15fd774932575bdd251eac,Environment,3,9,libero_object_env|task3|init9|rollout0|seed16203686,3,p4b_environment_seed20260907,0,1,1,2,mixed,experiments/campaigns/p4b_terminal_candidates_20260907/runs/p4b_terminal_candidates_20260907__environment_fresh_seed__snapshots/libero_object_env__task3__init9__rollout0__query3.npz,749d8d9d27ac7ea319394ee619fcfbc43ed887ac91c604290eae2ce3865f38eb
12705a05bb9a592f0db476c4fb8fb5a2f15ceb06411b8dd7cd6cc313673f5c68,Position,2,1,libero_object_temp|task2|init1|rollout0|seed16302134,3,p4b_position_x0p1,1,1,0,4,all_success,experiments/campaigns/p4b_terminal_candidates_20260907/runs/p4b_terminal_candidates_20260907__position_x0p1_new_cell__snapshots/libero_object_temp__task2__init1__rollout0__query3.npz,addb548937718e82185d932415d6907dcd9bc325cf2c1ebc5838a79ce2a57be8
1330044a8ae41656148a1a003e3ae2a5274452aabe01da06e71eb2859d6d3b97,Position,2,1,libero_object_temp|task2|init1|rollout1|seed16302231,3,p4b_position_x0p1,1,1,0,4,all_success,experiments/campaigns/p4b_terminal_candidates_20260907/runs/p4b_terminal_candidates_20260907__position_x0p1_new_cell__snapshots/libero_object_temp__task2__init1__rollout1__query3.npz,22a4ae09d9a243f1cc59f154e70f38643b4545d5cf2e2c9ebe6a87dc8efd7c5c
1377262ad995e163cdbf4778e08b65dbc69b86a559817a88570bf685cedead6d,Position,2,0,libero_object_temp|task2|init0|rollout0|seed16401940,3,p4b_position_y0p1,1,1,0,4,all_success,experiments/campaigns/p4b_terminal_candidates_20260907/runs/p4b_terminal_candidates_20260907__position_y0p1_new_cell__snapshots/libero_object_temp__task2__init0__rollout0__query3.npz,a9fbf009bff9c22b35eb791924b2d9bcc219b568a55102ba1e394c0e50fd25f7
1451cf7d6e7675b7c733ea0117fd4433cfe1a7e17b19e09ecf5d016583591a05,Position,0,2,libero_object_temp|task0|init2|rollout0|seed16600388,3,p4b_position_y0p3,0,0,0,0,all_fail,experiments/campaigns/p4b_terminal_candidates_20260907/runs/p4b_terminal_candidates_20260907__position_y0p3_new_cell__snapshots/libero_object_temp__task0__init2__rollout0__query3.npz,1265c809f5efbecb0c2b34d60188c29bb5aed8a0632cdfc1c288170992057894
158fc33a537198799adc12e829707cb0a7a8efc392fe8bf34a9484594bc39298,Position,2,0,libero_object_temp|task2|init0|rollout1|seed16402037,3,p4b_position_y0p1,1,1,0,3,mixed,experiments/campaigns/p4b_terminal_candidates_20260907/runs/p4b_terminal_candidates_20260907__position_y0p1_new_cell__snapshots/libero_object_temp__task2__init0__rollout1__query3.npz,82d8c031627e1df2dd54c457b4486efb33c1102cf8a187da3c0fecce62e91071
196ffc6cd6240358670c4748baddbbf9f57d334107859a6248a1318e823013c3,Object,0,10,libero_object_object|task0|init10|rollout1|seed16102037,3,p4b_object_task0_new_seeds,1,1,0,4,all_success,experiments/campaigns/p4b_terminal_candidates_20260907/runs/p4b_terminal_candidates_20260907__object_task0_new_seeds__snapshots/libero_object_object__task0__init10__rollout1__query3.npz,44a742711edd7a56fbc1d2e25b1d2314009086c8ec796834dfc7e52f92b48375
1b64e7a74664f552350ba1a19ef7f545c8c13874b8ba23689ce66fb873633894,Environment,3,2,libero_object_env|task3|init2|rollout0|seed16202328,3,p4b_environment_seed20260907,0,1,1,1,mixed,experiments/campaigns/p4b_terminal_candidates_20260907/runs/p4b_terminal_candidates_20260907__environment_fresh_seed__snapshots/libero_object_env__task3__init2__rollout0__query3.npz,550dbdc7a72bcd04635acd9b3328c19e3cff8d0c93e10775741ed3df8289dbf6
1c216655fb2fe52f150dfd0aae466fec461d213715c87a846c84765cab16156b,Object,0,3,libero_object_object|task0|init3|rollout1|seed16100679,3,p4b_object_task0_new_seeds,1,1,0,4,all_success,experiments/campaigns/p4b_terminal_candidates_20260907/runs/p4b_terminal_candidates_20260907__object_task0_new_seeds__snapshots/libero_object_object__task0__init3__rollout1__query3.npz,a640fb19c29b8e19474e59c44e0b53332bd71f26091e4c53d19035e2be3699ca
1c30ad88f6531101ad9397408ff6af5d6e1ec9c0daf2c80726884be8dd411381,Position,1,3,libero_object_temp|task1|init3|rollout0|seed16601552,3,p4b_position_y0p3,1,1,0,2,mixed,experiments/campaigns/p4b_terminal_candidates_20260907/runs/p4b_terminal_candidates_20260907__position_y0p3_new_cell__snapshots/libero_object_temp__task1__init3__rollout0__query3.npz,1560abbb7651fe5b4e67ac4e8e485e1399c536331d0fdd6fcd8be8b27dcf611b
